ESTC,NDEP,RENDA,TIPOR,VBEM,NPARC,VPARC,TEL,IDADE,RESMS,ENTRADA,CLASSE
0,0,350,1,440,8,60,0,39,24,100,0
0,0,400,1,546,10,83,0,30,6,0,0
0,1,800,1,435,10,66,0,31,6,0,0
1,0,536,0,430,3,160,0,50,48,0,1
3,2,336,0,661,20,75,0,61,240,0,1
0,0,700,1,375,10,57,0,33,6,0,0
1,0,500,0,399,6,89,0,46,120,0,1
0,0,533,0,475,12,65,0,45,24,0,1
1,0,400,0,399,6,89,0,19,24,0,1
0,0,929,0,400,12,55,1,56,0,0,0
0,0,500,0,631,5,117,1,54,0,150,0
1,0,600,0,643,12,87,0,28,6,0,1
0,0,388,0,613,12,83,0,24,24,10,1
0,0,1323,0,420,10,64,0,58,0,0,0
2,0,662,0,502,12,68,0,36,24,0,1
1,0,300,0,399,12,54,0,20,0,0,1
1,0,2500,1,302,2,163,0,36,6,0,0
0,0,1000,1,348,10,51,0,36,6,0,0
1,0,800,0,446,5,90,0,40,48,0,1
1,0,397,0,403,10,61,1,40,0,0,1
0,0,332,1,593,4,100,0,44,215,198,0
0,0,360,0,337,10,51,1,29,60,0,1
0,0,2400,0,1233,4,247,0,60,0,250,0
0,0,400,0,389,11,54,0,29,48,0,1
1,0,540,0,562,15,70,0,44,240,0,1
1,0,330,1,449,12,62,0,34,0,0,0
1,0,500,0,437,12,60,0,60,48,0,1
0,0,380,1,480,6,102,0,21,6,0,1
0,2,300,1,339,10,51,0,48,6,0,0
0,0,400,1,595,12,80,0,39,6,0,0
3,0,741,0,491,3,134,0,55,0,134,0
0,0,715,0,552,4,119,0,59,48,119,0
1,0,553,1,572,8,101,1,36,0,0,0
0,0,1237,0,374,4,76,0,62,0,76,0
0,0,760,0,342,6,68,0,35,6,24,1
0,0,500,1,359,9,59,0,29,6,0,0
0,0,860,0,965,15,117,0,48,6,0,1
1,0,3000,1,498,6,106,0,29,6,0,0
1,0,750,1,580,10,88,0,40,6,0,0
0,0,303,0,480,10,67,0,27,6,0,1
1,0,1072,0,309,3,118,0,66,48,0,0
1,0,1500,0,409,6,85,0,38,48,0,1
0,0,1000,1,782,10,118,0,38,6,0,0
1,0,3442,0,552,4,119,0,64,48,119,0
0,0,950,0,737,15,95,1,47,120,0,1
1,0,800,1,849,12,101,0,37,6,100,1
0,0,550,1,350,10,54,0,26,6,0,0
0,1,1000,1,505,10,70,0,47,6,0,0
0,0,518,1,480,6,102,0,38,6,0,0
1,0,330,0,496,12,68,0,45,72,0,1
1,0,535,1,345,5,85,0,30,6,0,0
1,0,1000,0,327,2,177,0,32,48,0,1
0,0,350,1,468,10,65,0,33,6,0,1
1,0,733,0,980,10,149,0,25,0,0,1
0,0,650,0,549,12,69,0,28,144,50,1
0,0,338,1,767,10,96,0,44,6,0,0
0,0,3703,0,680,3,264,0,59,48,0,0
0,0,3650,0,624,2,210,0,56,0,210,0
0,0,419,0,399,6,83,0,64,48,0,0
0,0,1000,0,687,12,93,0,57,0,0,0
1,0,351,0,330,10,50,0,24,24,0,1
1,0,340,0,340,10,52,0,22,12,0,1
0,1,500,1,828,18,89,0,29,6,0,1
0,0,550,1,469,5,89,0,37,6,100,0
1,0,5610,1,600,10,75,0,31,6,0,0
0,0,331,0,549,12,75,0,22,12,0,1
1,0,300,0,403,12,58,1,59,0,0,0
1,0,1300,0,395,10,60,0,66,72,0,0
1,0,498,1,344,10,53,0,22,6,0,1
0,0,800,1,429,10,60,0,29,6,0,0
0,0,3155,0,1129,3,423,0,61,48,0,0
1,0,600,0,895,12,122,0,24,24,0,0
1,0,2057,0,366,2,198,0,35,48,0,1
0,0,330,0,540,12,67,0,24,0,50,1
1,0,3000,0,705,2,235,0,62,48,240,0
1,0,356,1,440,10,66,0,38,6,0,0
1,0,3760,0,731,2,246,0,60,48,246,0
0,1,500,1,465,12,63,0,23,6,0,1
1,0,300,1,529,9,86,0,31,6,0,0
0,2,900,1,399,5,96,0,38,6,0,0
1,0,600,0,776,12,105,1,50,276,0,1
0,3,600,1,446,12,60,0,45,6,0,1
1,0,360,1,384,12,52,1,41,0,0,0
1,0,500,1,480,10,67,0,37,6,0,1
0,0,6000,0,849,2,305,0,55,0,305,0
1,0,4000,0,446,3,166,0,49,48,0,1
0,0,1342,0,1084,2,363,0,63,0,363,0
1,0,852,0,1067,10,169,1,20,0,0,1
0,1,400,1,450,10,69,0,31,6,0,1
1,0,2708,0,364,1,384,0,27,48,0,1
0,0,554,1,429,10,60,0,46,6,0,0
0,0,543,0,502,12,68,0,33,48,0,1
0,0,600,1,380,6,81,0,31,6,0,0
1,0,400,1,468,10,65,0,27,6,0,0
0,0,2500,0,829,12,102,0,32,48,0,1
0,0,690,0,559,5,137,0,58,48,0,0
0,0,1800,0,560,7,110,1,32,12,0,1
0,0,850,0,886,9,124,0,24,48,124,1
3,0,483,0,587,10,90,1,45,300,0,1
1,0,568,1,849,10,117,0,22,6,0,1
1,0,600,1,418,10,64,0,36,6,0,0
1,0,602,0,485,3,180,0,24,48,0,1
1,0,1200,0,535,2,290,0,29,48,0,1
0,0,556,0,360,6,75,0,28,0,25,1
1,0,600,1,525,10,80,0,20,6,0,1
0,0,900,0,438,4,129,0,35,12,0,1
0,0,396,0,556,12,76,0,51,36,0,1
0,0,692,1,459,10,70,0,64,6,0,0
1,0,600,0,569,12,70,0,43,48,0,1
0,0,900,0,473,12,64,1,36,48,0,1
0,2,400,1,429,10,60,0,41,6,0,0
1,0,500,0,546,15,68,0,37,72,0,1
0,0,420,1,459,10,67,0,38,6,0,0
0,0,380,1,336,10,52,0,67,6,0,0
1,0,490,0,303,5,51,0,29,0,100,1
1,0,1529,1,630,6,133,0,48,6,0,0
0,0,530,0,693,10,105,0,38,0,0,1
0,0,705,0,409,10,63,0,35,48,0,1
0,0,594,0,677,12,92,0,22,0,0,1
0,0,2000,0,329,7,64,0,31,0,0,1
1,0,600,0,698,11,97,0,66,48,0,0
1,0,500,1,680,6,116,0,32,6,150,0
0,0,709,1,429,10,60,0,47,6,0,0
0,0,1200,0,320,3,123,0,46,0,0,1
0,2,378,0,339,10,52,0,37,6,0,1
0,2,632,1,365,6,78,0,49,6,0,0
0,0,349,0,430,15,54,0,26,0,0,1
1,0,316,0,485,12,67,0,54,0,0,0
1,0,750,1,441,6,94,0,44,6,0,1
0,0,1100,0,899,4,210,0,61,0,210,0
1,0,800,1,683,9,111,0,29,6,0,0
0,0,1000,0,457,10,70,1,25,12,0,1
0,2,850,1,335,6,72,0,26,6,0,1
0,0,532,0,341,6,58,0,59,0,0,0
0,0,500,1,541,10,82,0,34,6,0,0
0,0,308,0,451,9,63,0,24,0,63,1
1,0,1780,0,478,2,256,0,31,48,0,1
0,0,609,0,830,10,126,0,30,0,0,1
0,0,400,1,380,6,87,0,43,6,0,0
1,0,1200,1,539,9,88,0,34,6,0,0
0,0,1457,0,529,3,145,0,63,48,145,0
0,0,2500,1,418,4,122,0,28,6,0,0
0,0,900,1,565,12,76,0,36,6,0,1
0,0,600,0,517,6,110,0,58,48,0,0
0,0,500,1,614,10,81,0,59,6,0,0
1,0,800,0,310,3,113,0,26,48,0,1
1,0,466,0,672,6,116,0,22,0,150,1
0,0,867,1,885,10,122,0,38,6,0,0
0,3,587,1,559,12,76,0,58,6,0,0
0,0,900,1,375,6,80,0,36,6,0,0
0,0,638,1,638,6,135,0,47,6,0,0
0,0,600,1,459,10,64,0,29,6,0,0
1,0,483,0,786,10,108,0,32,6,0,1
0,0,500,0,574,6,95,0,44,360,150,0
2,0,600,0,399,9,60,0,31,48,0,1
0,0,450,1,550,24,53,0,30,6,0,0
1,0,800,1,459,10,70,0,48,6,0,0
1,0,320,0,421,12,57,0,22,0,0,1
1,0,800,0,698,12,95,1,26,0,0,1
0,0,460,0,398,6,56,0,54,0,150,0
0,0,800,1,529,18,59,0,42,6,0,0
1,0,830,1,546,10,83,0,51,6,0,0
0,0,380,1,429,10,60,0,30,6,0,0
0,0,600,1,690,12,75,0,30,6,0,0
0,0,500,1,621,9,84,0,40,6,0,0
0,0,1000,0,776,12,105,1,30,12,0,1
0,0,905,1,398,6,84,0,31,6,0,1
0,0,323,0,375,10,58,0,33,0,0,1
0,0,500,1,399,10,55,0,33,6,0,0
0,0,2000,0,499,2,168,0,29,48,168,1
1,0,700,1,480,10,67,0,54,6,0,0
1,0,320,0,430,10,66,0,27,48,0,1
1,0,564,1,451,10,69,0,51,6,0,0
0,0,529,0,435,6,90,0,63,48,0,1
1,0,800,1,815,10,123,0,31,6,0,0
0,0,350,1,445,9,73,0,44,6,0,1
1,0,555,0,522,10,79,0,41,6,0,1
0,0,528,1,726,6,154,0,48,6,0,0
0,0,395,0,523,15,65,0,47,96,0,1
0,0,800,1,560,6,119,0,45,6,0,0
0,0,1600,1,429,10,60,0,30,6,0,0
0,0,592,1,322,6,73,1,48,252,0,0
1,0,496,0,350,10,54,0,29,60,0,1
1,0,356,1,440,10,67,0,38,6,0,0
3,0,1092,0,374,12,51,0,62,0,0,0
0,2,350,1,682,10,94,0,28,6,0,1
0,0,480,0,740,10,113,0,59,0,0,0
1,0,520,0,719,15,89,0,28,6,0,1
1,0,600,0,333,6,56,0,65,48,0,0
1,0,532,1,639,10,88,0,41,6,0,0
0,0,600,1,1065,9,172,0,51,6,0,1
1,0,300,0,452,12,62,1,37,144,0,1
0,0,658,1,372,2,126,0,36,106,126,0
0,0,411,0,419,11,58,0,41,48,0,1
1,0,1300,0,694,12,94,0,29,8,0,1
0,0,3000,1,922,12,124,0,36,6,0,1
0,0,600,1,525,4,153,0,33,6,0,0
0,0,800,1,395,12,54,0,36,6,0,0
1,0,480,0,518,12,71,0,34,30,0,1
0,0,457,0,398,9,66,1,67,0,0,1
1,0,500,0,552,4,119,0,62,48,119,0
0,0,2500,0,518,11,60,0,33,0,60,1
1,0,800,0,370,3,137,0,24,48,0,1
0,0,330,1,340,6,73,0,37,6,0,1
0,0,1300,1,349,10,51,0,45,6,0,0
1,0,640,0,855,12,72,0,29,48,0,1
0,0,1200,0,899,12,89,0,63,48,200,0
0,0,370,1,399,12,54,0,46,6,0,0
0,0,580,0,489,10,75,0,21,8,0,1
0,0,725,0,330,5,81,0,61,48,0,0
1,0,840,0,521,10,79,0,35,36,0,1
1,0,800,0,543,6,83,0,21,48,50,1
1,0,1300,0,1390,11,193,0,24,48,0,1
0,0,450,1,799,10,121,0,42,6,0,1
1,0,652,0,528,9,80,0,23,48,0,1
1,0,850,0,446,6,99,0,42,96,0,1
0,0,2000,1,567,10,78,0,37,6,0,0
0,0,700,1,433,4,128,0,28,12,0,0
0,0,300,0,300,6,69,0,27,0,0,1
1,0,945,0,552,4,119,0,67,48,119,0
0,0,1414,0,339,10,52,1,55,12,0,0
0,0,600,1,539,15,64,0,50,6,0,1
1,0,500,0,347,3,126,0,58,48,0,0
1,0,436,0,512,10,79,1,24,0,0,1
1,0,1201,0,710,2,239,0,63,0,239,0
1,0,3000,1,1810,9,96,0,34,6,1222,1
0,0,1078,1,1059,10,145,0,46,6,0,0
0,0,1028,0,690,6,161,1,58,0,0,0
0,0,1540,1,571,10,86,0,42,6,0,0
0,0,1800,0,308,2,165,0,63,48,0,0
1,0,896,0,1003,6,208,0,62,48,0,0
0,0,800,1,799,12,109,1,49,240,0,1
0,0,1200,1,1459,10,181,0,31,6,0,0
2,0,420,0,423,12,58,0,54,0,0,0
1,0,1000,1,359,9,59,0,49,6,0,0
0,1,550,0,728,12,99,0,26,48,0,1
1,0,500,0,450,4,114,0,45,48,0,1
0,0,1100,0,440,5,109,0,58,48,0,0
0,0,360,1,580,12,78,0,47,6,0,0
0,0,432,0,550,12,75,0,52,96,0,1
0,0,738,1,469,9,77,0,38,6,0,0
1,0,425,0,426,4,108,0,62,48,0,0
0,0,350,1,755,12,102,0,38,6,0,0
0,0,4000,0,444,4,96,0,59,48,96,0
2,0,900,1,482,2,163,0,33,82,163,0
0,0,1500,0,959,5,173,1,53,0,250,1
1,0,360,1,498,10,76,0,20,6,0,1
1,0,800,1,480,10,67,0,48,6,0,0
1,0,1615,0,399,3,110,0,58,48,110,0
0,0,667,0,638,11,89,0,67,48,0,1
1,0,504,1,538,10,82,0,48,6,0,0
0,0,750,0,532,2,179,0,59,0,179,0
0,0,1000,1,327,4,96,0,58,6,0,0
0,7,300,1,558,12,75,0,56,6,0,0
0,0,800,0,638,12,79,0,33,48,0,1
1,0,600,1,409,3,152,0,33,48,0,0
0,0,500,1,750,10,113,0,40,6,0,0
0,0,1000,1,365,10,56,0,27,6,0,1
0,0,1000,0,537,10,78,0,28,6,0,1
1,0,2017,1,639,10,88,0,40,6,0,0
1,0,1140,0,799,3,305,0,25,48,0,1
1,0,490,0,529,11,60,0,67,48,100,0
0,0,1000,1,346,3,128,0,45,6,0,0
0,0,800,1,490,12,67,0,33,0,0,0
0,0,600,0,487,5,119,0,55,0,0,0
0,0,948,0,552,4,119,0,58,48,119,0
0,0,400,1,338,6,73,0,42,6,0,0
0,0,1250,1,436,3,119,1,29,12,119,0
0,1,450,1,466,10,68,0,42,6,0,0
0,0,700,0,415,12,57,0,63,0,0,0
0,0,1050,0,518,11,60,0,55,0,60,0
1,0,576,0,414,12,56,0,37,24,0,1
1,0,350,1,441,10,54,0,18,6,90,1
0,0,600,1,349,6,75,0,28,6,0,0
0,0,927,1,468,6,105,1,32,0,0,0
0,0,800,1,392,9,50,0,35,6,81,0
0,0,470,1,747,10,103,0,65,6,0,0
0,0,800,1,418,10,61,0,40,6,0,0
0,0,800,1,469,12,63,0,45,6,0,0
1,0,500,1,480,10,67,0,30,6,0,0
1,0,479,1,329,4,97,0,65,6,0,0
0,0,547,0,703,16,84,0,28,0,0,1
1,0,700,1,403,3,150,0,30,6,0,0
0,0,600,0,468,12,64,0,34,240,0,1
0,0,420,1,330,6,71,0,27,6,0,0
1,0,2251,0,552,4,119,0,59,48,119,0
0,0,850,0,443,12,60,0,34,0,0,1
3,0,2493,0,437,6,96,0,60,48,0,0
0,0,300,1,359,9,59,0,39,6,0,0
1,0,500,0,541,5,99,0,66,48,99,0
1,0,558,1,480,10,67,0,38,6,0,1
0,0,2500,1,631,5,151,0,27,6,0,0
0,0,590,0,311,3,116,0,34,6,0,1
1,0,700,1,356,6,79,1,34,84,0,0
0,0,1400,1,665,12,93,0,31,6,0,0
1,0,2173,0,491,3,182,0,36,48,0,1
1,0,1000,1,411,5,101,0,42,6,0,0
0,0,1334,1,503,10,76,0,41,6,0,0
0,0,300,1,465,10,71,0,31,6,0,0
0,0,500,0,441,10,67,0,34,6,0,1
0,0,500,1,590,6,126,0,37,6,0,0
1,0,850,0,514,12,70,1,49,0,0,1
1,0,750,0,499,3,182,0,30,48,0,1
1,0,440,0,553,6,105,0,54,120,80,1
1,0,500,1,376,6,80,0,24,6,0,1
0,5,600,1,651,10,98,0,53,6,0,0
1,0,3161,1,329,5,57,0,55,6,100,0
0,0,650,0,805,20,88,1,62,24,0,1
1,0,481,1,340,10,52,0,42,6,0,0
0,2,584,1,849,10,117,0,40,6,0,0
1,0,2000,0,779,10,111,0,27,48,0,1
1,0,831,0,620,20,71,1,60,36,0,0
0,0,1100,1,378,4,111,0,43,6,0,0
0,2,1800,1,480,12,65,0,36,6,0,1
0,0,346,1,347,10,53,0,34,6,0,0
1,0,1200,1,480,12,65,0,26,6,0,1
1,0,420,0,555,12,76,0,26,120,0,1
1,0,500,0,599,12,82,1,20,18,0,1
0,0,1903,0,556,3,214,0,60,48,0,0
1,0,555,0,552,4,119,0,59,48,119,0
1,0,1300,1,405,4,119,0,36,6,0,0
1,0,600,0,477,12,65,0,31,0,0,1
1,0,1800,0,458,12,62,1,42,12,0,1
1,0,1200,0,317,3,116,0,27,48,0,1
0,2,2000,1,747,10,103,0,34,6,0,0
1,0,1500,0,578,12,79,1,29,0,0,1
1,0,400,0,646,10,98,1,35,14,0,1
0,0,350,1,390,10,59,0,57,6,0,1
1,0,800,0,336,3,125,0,25,48,0,1
1,0,346,0,399,4,88,0,26,4,100,1
0,0,1479,0,599,7,98,0,55,0,98,0
0,0,812,1,618,6,131,0,28,6,0,1
0,0,1100,1,636,10,97,1,44,180,0,0
0,0,840,0,954,6,215,0,41,0,0,1
0,0,1500,0,507,8,90,0,29,0,0,1
0,0,400,1,462,12,63,0,32,6,0,0
1,0,481,0,366,6,62,0,65,48,0,0
0,0,730,1,460,10,70,0,36,6,0,0
0,0,300,0,650,12,88,0,38,36,0,1
1,0,1200,0,598,9,99,0,45,0,0,1
0,0,500,1,618,10,85,0,42,6,0,0
0,0,800,0,514,6,110,0,34,6,0,1
0,0,800,1,546,6,116,0,29,6,0,0
1,0,1501,1,1059,10,118,0,54,6,200,0
0,0,350,1,505,10,70,0,44,6,0,1
0,0,360,0,449,21,51,0,61,0,0,1
1,0,1000,1,370,6,79,0,39,6,0,0
0,0,578,1,395,6,88,0,28,24,0,0
3,2,869,0,829,15,103,1,59,108,0,1
1,0,650,1,369,3,139,0,27,6,0,0
0,0,400,0,358,6,80,0,25,0,0,1
0,0,2500,1,618,10,89,0,43,6,0,0
0,0,1000,1,1059,4,192,0,39,6,400,0
1,0,314,0,443,12,60,1,45,12,0,1
0,0,1500,1,495,2,175,0,44,6,175,0
1,0,5200,0,314,2,170,0,60,48,0,0
0,0,600,0,445,10,68,0,57,12,0,1
0,0,1200,0,602,4,137,0,43,0,137,1
1,0,450,0,468,12,65,0,37,24,0,1
0,0,1000,1,428,10,62,0,41,6,0,0
0,0,1866,1,613,12,83,1,41,12,0,0
0,0,1900,0,549,4,116,0,61,48,150,0
1,0,470,0,393,6,66,0,62,48,0,0
0,0,1200,1,369,3,139,0,40,6,0,0
0,0,600,1,1059,10,145,0,50,6,0,0
0,0,900,1,464,10,71,0,39,6,0,0
0,0,4000,0,994,2,333,0,55,0,333,0
3,0,1021,0,1386,4,279,0,62,48,279,0
0,0,3000,1,1122,9,181,0,33,6,0,0
1,0,512,0,552,4,119,0,60,48,119,0
0,0,1300,1,639,10,88,0,32,6,0,0
1,0,1200,0,417,6,70,0,59,48,0,0
1,0,600,1,463,10,70,0,32,6,0,0
